travel_type,market,measure,unit,state,state_abbrev,period_type,year,quarter,period_label,is_calendar_year_end,value,source,source_file,original_table,original_title
Overnight,All overnight,Trips,000 trips,New South Wales,NSW,quarter,2019,Q1,Q1 2019,False,10058.372,Tourism Research Australia: Domestic Tourism Statistics,domestic_tourism_overnight_backcast_2019_2024.xlsx,Table 1,"Backcast Overnight Trips ('000), Australia and States"
Overnight,All overnight,Trips,000 trips,New South Wales,NSW,quarter,2019,Q2,Q2 2019,False,9308.252,Tourism Research Australia: Domestic Tourism Statistics,domestic_tourism_overnight_backcast_2019_2024.xlsx,Table 1,"Backcast Overnight Trips ('000), Australia and States"
Overnight,All overnight,Trips,000 trips,New South Wales,NSW,quarter,2019,Q3,Q3 2019,False,9421.108,Tourism Research Australia: Domestic Tourism Statistics,domestic_tourism_overnight_backcast_2019_2024.xlsx,Table 1,"Backcast Overnight Trips ('000), Australia and States"
Overnight,All overnight,Trips,000 trips,New South Wales,NSW,quarter,2019,Q4,Q4 2019,True,10273.49,Tourism Research Australia: Domestic Tourism Statistics,domestic_tourism_overnight_backcast_2019_2024.xlsx,Table 1,"Backcast Overnight Trips ('000), Australia and States"
Overnight,All overnight,Trips,000 trips,New South Wales,NSW,quarter,2020,Q1,Q1 2020,False,9301.787,Tourism Research Australia: Domestic Tourism Statistics,domestic_tourism_overnight_backcast_2019_2024.xlsx,Table 1,"Backcast Overnight Trips ('000), Australia and States"
Overnight,All overnight,Trips,000 trips,New South Wales,NSW,quarter,2020,Q2,Q2 2020,False,4768.726,Tourism Research Australia: Domestic Tourism Statistics,domestic_tourism_overnight_backcast_2019_2024.xlsx,Table 1,"Backcast Overnight Trips ('000), Australia and States"
Overnight,All overnight,Trips,000 trips,New South Wales,NSW,quarter,2020,Q3,Q3 2020,False,7015.5,Tourism Research Australia: Domestic Tourism Statistics,domestic_tourism_overnight_backcast_2019_2024.xlsx,Table 1,"Backcast Overnight Trips ('000), Australia and States"
Overnight,All overnight,Trips,000 trips,New South Wales,NSW,quarter,2020,Q4,Q4 2020,True,8873.119,Tourism Research Australia: Domestic Tourism Statistics,domestic_tourism_overnight_backcast_2019_2024.xlsx,Table 1,"Backcast Overnight Trips ('000), Australia and States"
Overnight,All overnight,Trips,000 trips,New South Wales,NSW,quarter,2021,Q1,Q1 2021,False,8893.157,Tourism Research Australia: Domestic Tourism Statistics,domestic_tourism_overnight_backcast_2019_2024.xlsx,Table 1,"Backcast Overnight Trips ('000), Australia and States"
Overnight,All overnight,Trips,000 trips,New South Wales,NSW,quarter,2021,Q2,Q2 2021,False,9166.014,Tourism Research Australia: Domestic Tourism Statistics,domestic_tourism_overnight_backcast_2019_2024.xlsx,Table 1,"Backcast Overnight Trips ('000), Australia and States"
Overnight,All overnight,Trips,000 trips,New South Wales,NSW,quarter,2021,Q3,Q3 2021,False,2803.916,Tourism Research Australia: Domestic Tourism Statistics,domestic_tourism_overnight_backcast_2019_2024.xlsx,Table 1,"Backcast Overnight Trips ('000), Australia and States"
Overnight,All overnight,Trips,000 trips,New South Wales,NSW,quarter,2021,Q4,Q4 2021,True,7306.228,Tourism Research Australia: Domestic Tourism Statistics,domestic_tourism_overnight_backcast_2019_2024.xlsx,Table 1,"Backcast Overnight Trips ('000), Australia and States"
Overnight,All overnight,Trips,000 trips,New South Wales,NSW,quarter,2022,Q1,Q1 2022,False,9083.719,Tourism Research Australia: Domestic Tourism Statistics,domestic_tourism_overnight_backcast_2019_2024.xlsx,Table 1,"Backcast Overnight Trips ('000), Australia and States"
Overnight,All overnight,Trips,000 trips,New South Wales,NSW,quarter,2022,Q2,Q2 2022,False,9428.113,Tourism Research Australia: Domestic Tourism Statistics,domestic_tourism_overnight_backcast_2019_2024.xlsx,Table 1,"Backcast Overnight Trips ('000), Australia and States"
Overnight,All overnight,Trips,000 trips,New South Wales,NSW,quarter,2022,Q3,Q3 2022,False,9257.429,Tourism Research Australia: Domestic Tourism Statistics,domestic_tourism_overnight_backcast_2019_2024.xlsx,Table 1,"Backcast Overnight Trips ('000), Australia and States"
Overnight,All overnight,Trips,000 trips,New South Wales,NSW,quarter,2022,Q4,Q4 2022,True,10203.996,Tourism Research Australia: Domestic Tourism Statistics,domestic_tourism_overnight_backcast_2019_2024.xlsx,Table 1,"Backcast Overnight Trips ('000), Australia and States"
