travel_type,market,measure,unit,state,state_abbrev,year,annual_value,annual_method,source
Overnight,All overnight,Trips,000 trips,Northern Territory,NT,2024,843.943,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,All overnight,Trips,000 trips,ACT,ACT,2019,2357.978,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,All overnight,Trips,000 trips,ACT,ACT,2020,1498.176,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,All overnight,Trips,000 trips,ACT,ACT,2021,1454.414,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,All overnight,Trips,000 trips,ACT,ACT,2022,2288.804,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,All overnight,Trips,000 trips,ACT,ACT,2023,2262.024,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,All overnight,Trips,000 trips,ACT,ACT,2024,2244.293,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,All overnight,Nights,000 nights,Australia,AUS,2019,354867.073,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,All overnight,Nights,000 nights,Australia,AUS,2020,284601.855,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,All overnight,Nights,000 nights,Australia,AUS,2021,320455.398,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,All overnight,Nights,000 nights,Australia,AUS,2022,392302.043,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,All overnight,Nights,000 nights,Australia,AUS,2023,383789.176,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,All overnight,Nights,000 nights,Australia,AUS,2024,382598.394,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,All overnight,Nights,000 nights,New South Wales,NSW,2019,115392.848,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,All overnight,Nights,000 nights,New South Wales,NSW,2020,95186.259,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,All overnight,Nights,000 nights,New South Wales,NSW,2021,92056.364,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,All overnight,Nights,000 nights,New South Wales,NSW,2022,120403.449,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,All overnight,Nights,000 nights,New South Wales,NSW,2023,120596.705,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,All overnight,Nights,000 nights,New South Wales,NSW,2024,118578.59,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,All overnight,Nights,000 nights,Victoria,VIC,2019,84466.818,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,All overnight,Nights,000 nights,Victoria,VIC,2020,57592.594,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,All overnight,Nights,000 nights,Victoria,VIC,2021,69378.839,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,All overnight,Nights,000 nights,Victoria,VIC,2022,89205.581,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,All overnight,Nights,000 nights,Victoria,VIC,2023,87506.332,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,All overnight,Nights,000 nights,Victoria,VIC,2024,89098.557,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,All overnight,Nights,000 nights,Queensland,QLD,2019,84636.732,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,All overnight,Nights,000 nights,Queensland,QLD,2020,70245.019,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,All overnight,Nights,000 nights,Queensland,QLD,2021,84206.575,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,All overnight,Nights,000 nights,Queensland,QLD,2022,99487.516,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,All overnight,Nights,000 nights,Queensland,QLD,2023,94917.635,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,All overnight,Nights,000 nights,Queensland,QLD,2024,93135.806,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,All overnight,Nights,000 nights,South Australia,SA,2019,22425.305,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,All overnight,Nights,000 nights,South Australia,SA,2020,19930.027,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,All overnight,Nights,000 nights,South Australia,SA,2021,23803.324,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,All overnight,Nights,000 nights,South Australia,SA,2022,26215.497,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,All overnight,Nights,000 nights,South Australia,SA,2023,25541.123,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,All overnight,Nights,000 nights,South Australia,SA,2024,25979.3,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,All overnight,Nights,000 nights,Western Australia,WA,2019,28839.776,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,All overnight,Nights,000 nights,Western Australia,WA,2020,28186.418,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,All overnight,Nights,000 nights,Western Australia,WA,2021,33615.727,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,All overnight,Nights,000 nights,Western Australia,WA,2022,35105.716,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,All overnight,Nights,000 nights,Western Australia,WA,2023,34834.904,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,All overnight,Nights,000 nights,Western Australia,WA,2024,35063.257,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,All overnight,Nights,000 nights,Tasmania,TAS,2019,9276.26,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,All overnight,Nights,000 nights,Tasmania,TAS,2020,6913.37,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,All overnight,Nights,000 nights,Tasmania,TAS,2021,9276.807,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,All overnight,Nights,000 nights,Tasmania,TAS,2022,10896.072,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,All overnight,Nights,000 nights,Tasmania,TAS,2023,10393.874,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,All overnight,Nights,000 nights,Tasmania,TAS,2024,10546.748,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,All overnight,Nights,000 nights,Northern Territory,NT,2019,3535.22,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,All overnight,Nights,000 nights,Northern Territory,NT,2020,1968.289,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,All overnight,Nights,000 nights,Northern Territory,NT,2021,3554.486,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,All overnight,Nights,000 nights,Northern Territory,NT,2022,4368.652,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,All overnight,Nights,000 nights,Northern Territory,NT,2023,3656.694,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,All overnight,Nights,000 nights,Northern Territory,NT,2024,3799.242,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,All overnight,Nights,000 nights,ACT,ACT,2019,6294.114,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,All overnight,Nights,000 nights,ACT,ACT,2020,4579.879,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,All overnight,Nights,000 nights,ACT,ACT,2021,4563.276,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,All overnight,Nights,000 nights,ACT,ACT,2022,6619.56,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,All overnight,Nights,000 nights,ACT,ACT,2023,6341.909,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,All overnight,Nights,000 nights,ACT,ACT,2024,6396.894,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,All overnight,Spend,AUD millions,Australia,AUS,2019,70104.0,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,All overnight,Spend,AUD millions,Australia,AUS,2020,47648.0,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,All overnight,Spend,AUD millions,Australia,AUS,2021,62696.0,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,All overnight,Spend,AUD millions,Australia,AUS,2022,101492.0,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,All overnight,Spend,AUD millions,Australia,AUS,2023,106886.0,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,All overnight,Spend,AUD millions,Australia,AUS,2024,108832.0,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,All overnight,Spend,AUD millions,New South Wales,NSW,2019,22080.0,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
